Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-EE-A29X-06A-11R-A18T-07,0.766646132306695,0.0024669037717601,0.098660282753113,0.0113497948482267,0,0.0934813471232089,0,0.027395539196996,0,0.256492217914797,0.974772644881443
TCGA-EE-A2A0-06A-11R-A18T-07,0.448983648739122,0.0309360718101852,0.299538028979641,0.0229147954314595,0,0.151018228166925,0,0.0466092268726672,0,0.335053594937642,0.952031217430246
TCGA-EE-A2A1-06A-11R-A18T-07,0.574346658134225,0.0420941902518497,0.128896779282907,0.0159027951655913,0,0.140060822042354,0,0.0986987551230729,0,0.421318457569152,0.907731242881971
TCGA-EE-A2A2-06A-11R-A18T-07,0.903591760020948,0.00104820271378781,0.0175998356121793,0,0,0.0289288096052324,0.0124425235100213,0.0363888685378312,0,0.333518370017986,0.943703008258785
TCGA-EE-A2A5-06A-11R-A18T-07,0.841310066562178,0.000952173786899711,0.116905550400417,0,0,0.0313882625816443,0,0.0094439466688616,0,0.421674562912594,0.909957035569909
TCGA-EE-A2A6-06A-11R-A18T-07,0.755478201265639,0.00159116052264902,0.0479836546519319,0.0548721608817248,0,0.0602554357057623,0,0.0798193869722933,0,0.45933778068327,0.894296403325856
TCGA-EE-A2GB-06A-11R-A18T-07,0.934675233597364,0,0.0223151545241527,0,0,0.0258877042174991,0,0.0171219076609841,0,0.451640563302544,0.897834487848207
TCGA-EE-A2GC-06A-11R-A18T-07,0.738123571124409,0,0.0500187151195399,0.035329486178689,0,0.120056889438124,0,0.0564713381392386,0,0.543891781659229,0.848930293474451
TCGA-EE-A2GD-06A-11R-A18T-07,0.729644086608331,5.45381453200527e-05,0.198095698060453,0,0,0.0594227638938543,0,0.0127829132920423,0,0.44535422098534,0.899275820814988
TCGA-EE-A2GE-06A-11R-A18T-07,0.297536399095788,0.00417852199722268,0.349723911522399,0.0632804808271269,0,0.196432383534892,0,0.0888483030225716,0,0.385401032935111,0.942182285469292
TCGA-EE-A2GH-06A-11R-A18T-07,0.524447079195767,0,0.175361285745255,0.0646103726885015,0,0.180566256395824,0,0.0550150059746518,0,0.60206989753305,0.804844353204802
TCGA-EE-A2GI-06A-11R-A18T-07,0.799187272162775,0.00342574097734208,0.0521086391462476,0.0286601320848852,0,0.0700433683172725,0,0.046574847311478,0,0.689705385587524,0.794265249805716
TCGA-EE-A2GJ-06A-11R-A18U-07,0.789850675363734,0,0.0281327350732081,0.0219740114007845,0,0.151392991228293,0,0.00864958693398002,0,0.480675517020391,0.878036643139515
TCGA-EE-A2GK-06A-11R-A18S-07,0.00489276926232914,0.0756668359948153,0.0529414797310899,0,0,0.0598567312417826,0.139653289088187,0.666988894681796,0,0.866051239121847,0.502500050485965
TCGA-EE-A2GL-06A-11R-A18S-07,0.65121748656569,0.0233632003925486,0.0298548120337387,0.0133833324511847,0,0.0467772499781866,0.0181368235188462,0.217267095059805,0,0.570345025692576,0.839038861251799
TCGA-EE-A2GM-06B-11R-A18S-07,0.963794131973236,0,0.0213122385073466,0,0,0.0140500190528948,0.000843610466523128,0,0,0.521571065497016,0.86870980119465
TCGA-EE-A2GN-06A-11R-A18S-07,0.879065483771029,0,0.0698279893970564,0,0,0.0349505347337746,0,0.0161559920981397,0,0.413636923916921,0.913003088933253
TCGA-EE-A2GO-06A-11R-A18S-07,0.843831636306454,0,0.144089140629684,0,0,0.00895884758099781,0.00162038818818719,0.00149998729467662,0,0.459033399684917,0.895221348994588
TCGA-EE-A2GP-06A-11R-A18S-07,0.614197312219648,0.00112839325884561,0.247332192462524,0.0070271624574572,0,0.112183711626159,0,0.0181312279753661,0,0.444329771298109,0.896500750397182
TCGA-EE-A2GR-06A-11R-A18S-07,0.980720068689622,0,0.0181559136362801,0,0,0.000721090980484902,8.20360973882483e-05,0.000320890596224317,0,0.32757663405494,0.946549949519991
TCGA-EE-A2GS-06A-12R-A18S-07,0.89091610147998,1.30889823776201e-05,0.0581021335712852,0.000300861516494561,0,0.0451326197138918,0.0050086510498043,0.000526543686166164,0,0.461036659139151,0.894001141570351
